dataset,dataset_kind,ablation,model,status,n_nodes,n_features,n_train,n_test,n_anomalies_total,n_anomalies_train,n_anomalies_test,runtime_sec,json_file,roc_auc,pr_auc,k_at_pos,hits_at_pos,precision_at_k_at_pos,recall_at_k_at_pos,hits_at_k_at_pos,k_at_1pct,hits_at_1pct,precision_at_k_at_1pct,recall_at_k_at_1pct,hits_at_k_at_1pct,k_at_5pct,hits_at_5pct,precision_at_k_at_5pct,recall_at_k_at_5pct,hits_at_k_at_5pct
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,no_degree_struct,RandomForest,ok,5881,12,4704,1177,591,473,118,1.2280478477478027,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__no_degree_struct__RandomForest.json,0.9998479537779486,0.998625325310998,118,115,0.9745762711864406,0.9745762711864406,1.0,11,11,1.0,0.09322033898305085,1.0,58,58,1.0,0.4915254237288136,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,struct_only,ExtraTrees,ok,5881,21,4704,1177,591,473,118,0.7193121910095215,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__struct_only__ExtraTrees.json,0.9998879659416462,0.9990037409459999,118,115,0.9745762711864406,0.9745762711864406,1.0,11,11,1.0,0.09322033898305085,1.0,58,58,1.0,0.4915254237288136,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,struct_only,GradientBoosting,ok,5881,21,4704,1177,591,473,118,1.7313601970672607,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__struct_only__GradientBoosting.json,0.9998479537779484,0.9985460223790268,118,116,0.9830508474576272,0.9830508474576272,1.0,11,11,1.0,0.09322033898305085,1.0,58,58,1.0,0.4915254237288136,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,struct_only,IsolationForest,ok,5881,21,4704,1177,591,473,118,0.700981855392456,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__struct_only__IsolationForest.json,0.9294585554008419,0.44781862257388844,118,47,0.3983050847457627,0.3983050847457627,1.0,11,5,0.45454545454545453,0.0423728813559322,1.0,58,26,0.4482758620689655,0.22033898305084745,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,struct_only,LogisticRegression,ok,5881,21,4704,1177,591,473,118,0.046594858169555664,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__struct_only__LogisticRegression.json,0.999943982970823,0.9995102806335093,118,116,0.9830508474576272,0.9830508474576272,1.0,11,11,1.0,0.09322033898305085,1.0,58,58,1.0,0.4915254237288136,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,struct_only,RandomForest,ok,5881,21,4704,1177,591,473,118,1.263519048690796,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__struct_only__RandomForest.json,0.999839951345209,0.9985768894385025,118,115,0.9745762711864406,0.9745762711864406,1.0,11,11,1.0,0.09322033898305085,1.0,58,58,1.0,0.4915254237288136,1.0
FraudAmazon,dgl_fraud_heterograph,attr_only,ExtraTrees,ok,11944,25,6910,1729,821,637,184,0.7544581890106201,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\FraudAmazon__attr_only__ExtraTrees.json,0.9559958491627971,0.8791983632828395,184,153,0.8315217391304348,0.8315217391304348,1.0,17,17,1.0,0.09239130434782608,1.0,86,84,0.9767441860465116,0.45652173913043476,1.0
FraudAmazon,dgl_fraud_heterograph,attr_only,GradientBoosting,ok,11944,25,6910,1729,821,637,184,1.7302100658416748,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\FraudAmazon__attr_only__GradientBoosting.json,0.9861122836639933,0.9275257133092724,184,160,0.8695652173913043,0.8695652173913043,1.0,17,17,1.0,0.09239130434782608,1.0,86,83,0.9651162790697675,0.45108695652173914,1.0
FraudAmazon,dgl_fraud_heterograph,attr_only,IsolationForest,ok,11944,25,6910,1729,821,637,184,0.7212879657745361,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\FraudAmazon__attr_only__IsolationForest.json,0.8373293935556494,0.3259883486454483,184,65,0.3532608695652174,0.3532608695652174,1.0,17,5,0.29411764705882354,0.02717391304347826,1.0,86,32,0.37209302325581395,0.17391304347826086,1.0
FraudAmazon,dgl_fraud_heterograph,attr_only,LogisticRegression,ok,11944,25,6910,1729,821,637,184,0.0605928897857666,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\FraudAmazon__attr_only__LogisticRegression.json,0.9714753060363022,0.8816671062664769,184,155,0.842391304347826,0.842391304347826,1.0,17,16,0.9411764705882353,0.08695652173913043,1.0,86,83,0.9651162790697675,0.45108695652173914,1.0
