file,path,stage,dataset,group,contamination,status,error,n_rows,n_devices,n_features,n_top_anomalies,n_top_anomaly_days,top_score,median_score,runtime_sec,ranked_csv,top_csv,device_csv,created_at
agg__agg_kkt_47_11_turnover_contam_0.01.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_turnover_contam_0.01.json,agg_kkt_level,agg_kkt_47_11,turnover,0.01,ok,,34443,,107,345.0,,1.0,0.16312613788381816,20.26685619354248,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.01__top_anomalies.csv,,2026-05-17 16:06:16
agg__agg_kkt_47_11_turnover_contam_0.03.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_turnover_contam_0.03.json,agg_kkt_level,agg_kkt_47_11,turnover,0.03,ok,,34443,,107,1034.0,,1.0,0.16312613788381816,18.288036108016968,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.03__top_anomalies.csv,,2026-05-17 16:06:35
agg__agg_kkt_47_11_turnover_contam_0.05.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_turnover_contam_0.05.json,agg_kkt_level,agg_kkt_47_11,turnover,0.05,ok,,34443,,107,1723.0,,1.0,0.1631261378838182,17.53811001777649,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.05__top_anomalies.csv,,2026-05-17 16:06:52
agg__agg_kkt_47_19_all_numeric_contam_0.01.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_19_all_numeric_contam_0.01.json,agg_kkt_level,agg_kkt_47_19,all_numeric,0.01,ok,,15491,,150,155.0,,1.0,0.12471372629972757,7.052000999450684,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.01__top_anomalies.csv,,2026-05-17 16:12:48
agg__agg_kkt_47_19_all_numeric_contam_0.03.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_19_all_numeric_contam_0.03.json,agg_kkt_level,agg_kkt_47_19,all_numeric,0.03,ok,,15491,,150,465.0,,1.0,0.12471372629972757,7.185003995895386,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.03__top_anomalies.csv,,2026-05-17 16:12:55
agg__agg_kkt_47_19_all_numeric_contam_0.05.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_19_all_numeric_contam_0.05.json,agg_kkt_level,agg_kkt_47_19,all_numeric,0.05,ok,,15491,,150,775.0,,1.0,0.12471372629972757,9.373003005981445,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.05__top_anomalies.csv,,2026-05-17 16:13:05
agg__agg_kkt_47_19_benford_contam_0.01.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_19_benford_contam_0.01.json,agg_kkt_level,agg_kkt_47_19,benford,0.01,ok,,15491,,1,156.0,,1.0,0.10809096522068852,6.162000894546509,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_benford_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_benford_contam_0.01__top_anomalies.csv,,2026-05-18 07:59:55
agg__agg_kkt_47_19_benford_contam_0.03.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_19_benford_contam_0.03.json,agg_kkt_level,agg_kkt_47_19,benford,0.03,ok,,15491,,1,465.0,,1.0,0.10809096522068852,6.5626115798950195,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_benford_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_benford_contam_0.03__top_anomalies.csv,,2026-05-18 08:00:01
agg__agg_kkt_47_19_benford_contam_0.05.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_19_benford_contam_0.05.json,agg_kkt_level,agg_kkt_47_19,benford,0.05,ok,,15491,,1,775.0,,1.0,0.10809096522068852,8.060508728027344,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_benford_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_benford_contam_0.05__top_anomalies.csv,,2026-05-18 08:00:10
agg__agg_kkt_47_19_bills_contam_0.01.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_19_bills_contam_0.01.json,agg_kkt_level,agg_kkt_47_19,bills,0.01,ok,,15491,,11,155.0,,1.0,0.18112643743565296,11.201002836227417,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_bills_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_bills_contam_0.01__top_anomalies.csv,,2026-05-17 16:13:37
